2018-10-20 00:19:54 status unpacked libldap2-dev:amd64 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:54 status unpacked libldap2-dev:amd64 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:54 install libexpat1-dev:amd64 <none> 2.2.0-2+deb9u1
2018-10-20 00:19:54 status half-installed libexpat1-dev:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:54 status unpacked libexpat1-dev:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:54 status unpacked libexpat1-dev:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:54 install libaprutil1-dev:amd64 <none> 1.5.4-3
2018-10-20 00:19:54 status half-installed libaprutil1-dev:amd64 1.5.4-3
2018-10-20 00:19:54 status unpacked libaprutil1-dev:amd64 1.5.4-3
2018-10-20 00:19:54 status unpacked libaprutil1-dev:amd64 1.5.4-3
2018-10-20 00:19:54 install libaprutil1-ldap:amd64 <none> 1.5.4-3
2018-10-20 00:19:54 status half-installed libaprutil1-ldap:amd64 1.5.4-3
2018-10-20 00:19:54 status unpacked libaprutil1-ldap:amd64 1.5.4-3
2018-10-20 00:19:54 status unpacked libaprutil1-ldap:amd64 1.5.4-3
2018-10-20 00:19:54 startup packages configure
2018-10-20 00:19:54 configure libapr1:amd64 1.5.2-5 <none>
2018-10-20 00:19:54 status unpacked libapr1:amd64 1.5.2-5
2018-10-20 00:19:54 status half-configured libapr1:amd64 1.5.2-5
2018-10-20 00:19:54 status installed libapr1:amd64 1.5.2-5
2018-10-20 00:19:54 configure libgdbm3:amd64 1.8.3-14 <none>
2018-10-20 00:19:54 status unpacked libgdbm3:amd64 1.8.3-14
2018-10-20 00:19:54 status half-configured libgdbm3:amd64 1.8.3-14
2018-10-20 00:19:54 status installed libgdbm3:amd64 1.8.3-14
2018-10-20 00:19:54 configure libnettle6:amd64 3.3-1+b2 <none>
2018-10-20 00:19:54 status unpacked libnettle6:amd64 3.3-1+b2
2018-10-20 00:19:54 status half-configured libnettle6:amd64 3.3-1+b2
2018-10-20 00:19:54 status installed libnettle6:amd64 3.3-1+b2
2018-10-20 00:19:54 configure libexpat1:amd64 2.2.0-2+deb9u1 <none>
2018-10-20 00:19:54 status unpacked libexpat1:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:54 status half-configured libexpat1:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:54 status installed libexpat1:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:54 configure libsctp1:amd64 1.0.17+dfsg-1+b1 <none>
2018-10-20 00:19:54 status unpacked libsctp1:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:54 status half-configured libsctp1:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:54 status installed libsctp1:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:54 configure libldap-common:all 2.4.44+dfsg-5+deb9u2 <none>
2018-10-20 00:19:54 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:54 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:54 status half-configured libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:54 status installed libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:54 configure libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2018-10-20 00:19:54 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:54 status half-configured libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:54 status installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:54 configure linux-libc-dev:amd64 4.9.110-3+deb9u6 <none>
2018-10-20 00:19:54 status unpacked linux-libc-dev:amd64 4.9.110-3+deb9u6
2018-10-20 00:19:54 status half-configured linux-libc-dev:amd64 4.9.110-3+deb9u6
2018-10-20 00:19:54 status installed linux-libc-dev:amd64 4.9.110-3+deb9u6
2018-10-20 00:19:54 configure libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2018-10-20 00:19:54 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:54 status half-configured libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:54 status installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:54 configure libtasn1-6:amd64 4.10-1.1+deb9u1 <none>
2018-10-20 00:19:54 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2018-10-20 00:19:54 status half-configured libtasn1-6:amd64 4.10-1.1+deb9u1
2018-10-20 00:19:54 status installed libtasn1-6:amd64 4.10-1.1+deb9u1
2018-10-20 00:19:54 configure libgmp10:amd64 2:6.1.2+dfsg-1 <none>
2018-10-20 00:19:54 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-10-20 00:19:54 status half-configured libgmp10:amd64 2:6.1.2+dfsg-1
2018-10-20 00:19:54 status installed libgmp10:amd64 2:6.1.2+dfsg-1
2018-10-20 00:19:54 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-10-20 00:19:54 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-10-20 00:19:54 status installed libc-bin:amd64 2.24-11+deb9u3
2018-10-20 00:19:54 configure libssl1.1:amd64 1.1.0f-3+deb9u2 <none>
2018-10-20 00:19:54 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-10-20 00:19:54 status unpacked libssl1.1:amd64 1.1.0f-3+deb9u2
2018-10-20 00:19:54 status half-configured libssl1.1:amd64 1.1.0f-3+deb9u2
2018-10-20 00:19:54 status installed libssl1.1:amd64 1.1.0f-3+deb9u2
2018-10-20 00:19:54 configure libaprutil1:amd64 1.5.4-3 <none>
2018-10-20 00:19:54 status unpacked libaprutil1:amd64 1.5.4-3
2018-10-20 00:19:54 status half-configured libaprutil1:amd64 1.5.4-3
2018-10-20 00:19:54 status installed libaprutil1:amd64 1.5.4-3
2018-10-20 00:19:54 configure libffi6:amd64 3.2.1-6 <none>
2018-10-20 00:19:54 status unpacked libffi6:amd64 3.2.1-6
2018-10-20 00:19:54 status half-configured libffi6:amd64 3.2.1-6
2018-10-20 00:19:54 status installed libffi6:amd64 3.2.1-6
2018-10-20 00:19:54 configure libc-dev-bin:amd64 2.24-11+deb9u3 <none>
2018-10-20 00:19:54 status unpacked libc-dev-bin:amd64 2.24-11+deb9u3
2018-10-20 00:19:54 status half-configured libc-dev-bin:amd64 2.24-11+deb9u3
2018-10-20 00:19:54 status installed libc-dev-bin:amd64 2.24-11+deb9u3
2018-10-20 00:19:54 configure libc6-dev:amd64 2.24-11+deb9u3 <none>
2018-10-20 00:19:54 status unpacked libc6-dev:amd64 2.24-11+deb9u3
2018-10-20 00:19:55 status half-configured libc6-dev:amd64 2.24-11+deb9u3
2018-10-20 00:19:55 status installed libc6-dev:amd64 2.24-11+deb9u3
2018-10-20 00:19:55 configure libidn11:amd64 1.33-1 <none>
2018-10-20 00:19:55 status unpacked libidn11:amd64 1.33-1
2018-10-20 00:19:55 status half-configured libidn11:amd64 1.33-1
